OrderID,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,LineTotal
ORD10001,P106,Desk,Furniture,4,38485.34,0,153941.36
ORD10001,P103,Monitor,Electronics,4,4338.94,10,15620.18
ORD10001,P108,Pen Pack,Stationery,5,3436.11,10,15462.49
ORD10002,P102,Keyboard,Electronics,5,42271.05,5,200787.49
ORD10002,P104,Headphones,Electronics,3,37981.32,0,113943.96
ORD10002,P104,Headphones,Electronics,1,1734.32,20,1387.46
ORD10003,P103,Monitor,Electronics,3,45514.19,5,129715.44
ORD10003,P101,Mouse,Electronics,5,71.51,10,321.8
ORD10003,P108,Pen Pack,Stationery,4,43053.01,10,154990.84
ORD10004,P104,Headphones,Electronics,2,13319.31,0,26638.62
ORD10004,P100,Laptop,Electronics,3,11186.24,5,31880.78
ORD10004,P105,Office Chair,Furniture,4,5632.78,15,19151.45
ORD10005,P102,Keyboard,Electronics,3,30572.2,5,87130.77
ORD10005,P107,Notebook,Stationery,5,32131.58,10,144592.11
ORD10006,P105,Office Chair,Furniture,5,9049.22,0,45246.1
ORD10006,P107,Notebook,Stationery,3,32184.36,10,86897.77
ORD10006,P103,Monitor,Electronics,4,49243.03,5,187123.51
ORD10007,P105,Office Chair,Furniture,4,19157.84,15,65136.66
ORD10007,P107,Notebook,Stationery,5,49519.77,5,235218.91
ORD10007,P107,Notebook,Stationery,3,10087.25,10,27235.58
ORD10008,P102,Keyboard,Electronics,2,32934.43,0,65868.86
ORD10008,P100,Laptop,Electronics,4,25568.06,15,86931.4
ORD10009,P105,Office Chair,Furniture,2,15653.62,0,31307.24
ORD10010,P100,Laptop,Electronics,5,31659.31,10,142466.9
ORD10010,P103,Monitor,Electronics,2,3710.08,5,7049.15
ORD10011,P109,USB Drive,Accessories,1,32758.24,5,31120.33
ORD10011,P105,Office Chair,Furniture,2,13555.98,0,27111.96
ORD10012,P100,Laptop,Electronics,3,37587.9,10,101487.33
ORD10012,P103,Monitor,Electronics,5,31377.14,10,141197.13
ORD10013,P108,Pen Pack,Stationery,5,7509.4,5,35669.65
ORD10013,P103,Monitor,Electronics,2,34018.5,10,61233.3
ORD10014,P101,Mouse,Electronics,2,1404.04,5,2667.68
ORD10015,P105,Office Chair,Furniture,5,6416.12,10,28872.54
ORD10015,P102,Keyboard,Electronics,4,5005.15,0,20020.6
ORD10015,P109,USB Drive,Accessories,5,21542.9,5,102328.77
ORD10016,P107,Notebook,Stationery,1,23710.93,5,22525.38
ORD10017,P106,Desk,Furniture,4,34465.46,20,110289.47
ORD10018,P106,Desk,Furniture,5,4804.42,5,22820.99
ORD10019,P100,Laptop,Electronics,5,27778.65,5,131948.59
ORD10019,P109,USB Drive,Accessories,1,21173.53,20,16938.82
ORD10019,P101,Mouse,Electronics,3,37544.19,15,95737.68
ORD10020,P105,Office Chair,Furniture,5,49049.51,15,208460.42
ORD10020,P104,Headphones,Electronics,3,1756.51,5,5006.05
ORD10021,P108,Pen Pack,Stationery,3,15143.62,5,43159.32
ORD10022,P101,Mouse,Electronics,3,25825.25,15,65854.39
ORD10022,P100,Laptop,Electronics,3,32307.56,10,87230.41
ORD10022,P104,Headphones,Electronics,3,36547.04,20,87712.9
ORD10023,P105,Office Chair,Furniture,5,38386.99,10,172741.45
ORD10023,P103,Monitor,Electronics,2,48811.45,20,78098.32
ORD10023,P100,Laptop,Electronics,3,27013.07,15,68883.33
ORD10024,P101,Mouse,Electronics,2,29136.98,10,52446.56
ORD10025,P108,Pen Pack,Stationery,3,22797.53,0,68392.59
ORD10026,P104,Headphones,Electronics,1,41835.47,20,33468.38
ORD10026,P108,Pen Pack,Stationery,3,169.09,0,507.27
ORD10026,P102,Keyboard,Electronics,3,872.89,15,2225.87
ORD10027,P104,Headphones,Electronics,2,4754.5,10,8558.1
ORD10028,P109,USB Drive,Accessories,2,39933.95,0,79867.9
ORD10029,P107,Notebook,Stationery,1,36772.04,10,33094.84
ORD10029,P105,Office Chair,Furniture,1,46362.75,20,37090.2
ORD10030,P102,Keyboard,Electronics,1,21096.32,0,21096.32
ORD10030,P102,Keyboard,Electronics,2,19290.23,20,30864.37
ORD10030,P102,Keyboard,Electronics,2,2064.72,20,3303.55
ORD10031,P101,Mouse,Electronics,2,3322.23,10,5980.01
ORD10031,P104,Headphones,Electronics,2,11940.53,15,20298.9
ORD10031,P106,Desk,Furniture,1,16976.12,5,16127.31
ORD10032,P108,Pen Pack,Stationery,2,21148.98,5,40183.06
ORD10032,P108,Pen Pack,Stationery,2,10014.51,20,16023.22
ORD10033,P105,Office Chair,Furniture,2,18205.56,0,36411.12
ORD10033,P105,Office Chair,Furniture,2,6105.46,0,12210.92
ORD10034,P103,Monitor,Electronics,5,9088.36,10,40897.62
ORD10035,P109,USB Drive,Accessories,3,8443.76,15,21531.59
