OrderID,ProductID,ProductName,Category,Quantity,UnitPrice,total price,DiscountPercent,DiscountPrice,Profit,CostPrice
ORD10001,P106,Desk,Furniture,4,38485.34,153941.36,0,153941.36,39743.34,28549.5
ORD10001,P103,Monitor,Electronics,4,4338.94,17355.76,10,15620.18,5944.29,2418.97
ORD10001,P108,Pen Pack,Stationery,5,3436.11,17180.55,10,15462.49,4595.64,2173.37
ORD10002,P102,Keyboard,Electronics,5,42271.05,211355.25,5,200787.49,70389.07,26079.68
ORD10002,P104,Headphones,Electronics,3,37981.32,113943.96,0,113943.96,26099.85,29281.37
ORD10002,P104,Headphones,Electronics,1,1734.32,1734.32,20,1387.46,81.5,1305.96
ORD10003,P103,Monitor,Electronics,3,45514.19,136542.57,5,129715.44,18070.88,37214.85
ORD10003,P101,Mouse,Electronics,5,71.51,357.55,10,321.8,115.82,41.2
ORD10003,P108,Pen Pack,Stationery,4,43053.01,172212.04,10,154990.84,38476.21,29128.66
ORD10004,P104,Headphones,Electronics,2,13319.31,26638.62,0,26638.62,11749.25,7444.68
ORD10004,P100,Laptop,Electronics,3,11186.24,33558.72,5,31880.78,11222.32,6886.15
ORD10004,P105,Office Chair,Furniture,4,5632.78,22531.12,15,19151.45,3343.47,3952
ORD10005,P102,Keyboard,Electronics,3,30572.2,91716.6,5,87130.77,35956.5,17058.09
ORD10005,P107,Notebook,Stationery,5,32131.58,160657.9,10,144592.11,46646.81,19589.06
ORD10006,P105,Office Chair,Furniture,5,9049.22,45246.1,0,45246.1,11539.32,6741.36
ORD10006,P107,Notebook,Stationery,3,32184.36,96553.08,10,86897.77,18008.84,22962.98
ORD10006,P103,Monitor,Electronics,4,49243.03,196972.12,5,187123.51,65762.65,30340.22
ORD10007,P105,Office Chair,Furniture,4,19157.84,76631.36,15,65136.66,9442.54,13923.53
ORD10007,P107,Notebook,Stationery,5,49519.77,247598.85,5,235218.91,38915.33,39260.72
ORD10007,P107,Notebook,Stationery,3,10087.25,30261.75,10,27235.58,10532.62,5567.65
ORD10008,P102,Keyboard,Electronics,2,32934.43,65868.86,0,65868.86,13717.47,26075.7
ORD10008,P100,Laptop,Electronics,4,25568.06,102272.24,15,86931.4,9261.58,19417.45
ORD10009,P105,Office Chair,Furniture,2,15653.62,31307.24,0,31307.24,10892.57,10207.34
ORD10010,P100,Laptop,Electronics,5,31659.31,158296.55,10,142466.9,48020.24,18889.33
ORD10010,P103,Monitor,Electronics,2,3710.08,7420.16,5,7049.15,837.26,3105.95
ORD10011,P109,USB Drive,Accessories,1,32758.24,32758.24,5,31120.33,9795.42,21324.91
ORD10011,P105,Office Chair,Furniture,2,13555.98,27111.96,0,27111.96,11446.03,7832.97
ORD10012,P100,Laptop,Electronics,3,37587.9,112763.7,10,101487.33,36195.47,21763.95
ORD10012,P103,Monitor,Electronics,5,31377.14,156885.7,10,141197.13,15022.07,25235.01
ORD10013,P108,Pen Pack,Stationery,5,7509.4,37547,5,35669.65,8218.37,5490.26
ORD10013,P103,Monitor,Electronics,2,34018.5,68037,10,61233.3,7338.57,26947.36
ORD10014,P101,Mouse,Electronics,2,1404.04,2808.08,5,2667.68,508.49,1079.59
ORD10015,P105,Office Chair,Furniture,5,6416.12,32080.6,10,28872.54,6067.45,4561.02
ORD10015,P102,Keyboard,Electronics,4,5005.15,20020.6,0,20020.6,3164.56,4214.01
